KPD 2025.,,
Šifra,Naziv,
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",
03.00.13,Ostale neuzgojene žive ribe koji nisu prikladne za ljudsku prehranu,,,,,
03.00.14,Ostale uzgojene žive ribe koji nisu prikladne za ljudsku prehranu,,,,,
03.00.2,"Žive ribe, svježe ili hlađene, za ljudsku prehranu",,,,,
03.00.21,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, neuzgojene",,,,,
03.00.22,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, slatkovodne, neuzgojene",,,,,
03.00.23,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, uzgojene",,,,,
03.00.24,"Žive ribe, svježe ili hlađene, za ljudsku prehranu, slatkovodne, uzgojene",,,,,
03.00.3,"Rakovi, nezamrznuti",,,,,
03.00.31,"Rakovi, nezamrznuti, neuzgojeni",,,,,
03.00.32,"Rakovi, nezamrznuti, uzgojeni",,,,,
03.00.4,"Mekušci i ostali vodeni beskralježnjaci, živi, svježi ili ohlađeni",,,,,
03.00.41,"Kamenice, žive, svježe ili hlađene, neuzgojene",,,,,
03.00.42,"Drugi mekušci, živi, svježi ili hlađeni, neuzgojeni",,,,,
03.00.43,"Kamenice, žive, svježe ili ohlađene, uzgojene",,,,,
03.00.44,"Drugi mekušci, živi, svježi ili ohlađeni, uzgojeni",,,,,
03.00.45,"Ostali vodeni beskralježnjaci, živi, svježi ili hlađeni, uzgojeni",,,,,
03.00.46,"Ostali vodeni beskralježnjaci, živi, svježi ili hlađeni, neuzgojeni",,,,,
03.00.5,"Biseri, neobrađeni",,,,,
03.00.51,"Prirodni biseri, neobrađeni",,,,,
03.00.52,"Kultivirani biseri, neobrađeni",,,,,
03.00.6,"Ostale vodene biljke, životinje i njihovi proizvodi",,,,,
03.00.61,"Koralji i slični proizvodi, ljušture mekušaca, rakova ili bodljikaša i sipina kost",,,,,
03.00.62,Prirodne spužve životinjskog podrijetla,,,,,
03.00.63,"Morske alge i ostale alge za ljudsku prehranu, neuzgojene",,,,,
03.00.64,"Morske alge i ostale alge za ljudsku prehranu, uzgojene",,,,,
03.00.65,"Morske alge i ostale alge koje nisu prikladne za ljudsku prehranu, neuzgojene",,,,,
03.00.66,"Morske alge i ostale alge koje nisu prikladne za ljudsku prehranu, uzgojene",,,,,
03.00.69,"Ostale vodene biljke, životinje i njihovi proizvodi, d. n.",,,,,
03.00.7,Pomoćne usluge u ribarstvu i akvakulturi,,,,,
03.00.71,Pomoćne usluge u ribarstvu,,,,,
03.00.72,Pomoćne usluge u akvakulturi,,,,,
B,PROIZVODI RUDARSTVA I VAĐENJA,,,,,
05,Ugljen i lignit,,,,,
05.1,Kameni ugljen i ostali ugljen,,,,,
05.10,Kameni ugljen i ostali ugljen,,,,,
05.10.0,Kameni ugljen i ostali ugljen,,,,,
05.10.01,Antracit,,,,,
05.10.02,Bitumenski i ostali ugljen,,,,,
05.2,Lignit,,,,,
05.20,Lignit,,,,,
05.20.0,Lignit,,,,,
05.20.00,Lignit,,,,,
06,Sirova nafta i prirodni plin,,,,,
06.1,Sirova nafta,,,,,
06.10,Sirova nafta,,,,,
06.10.1,"Nafta i ulja dobivena od bitumenskih minerala, sirova",,,,,
06.10.11,Kondenzati prirodnog plina,,,,,
06.10.12,"Ostala nafta i ulja dobivena od bitumenskih minerala, sirova",,,,,
06.10.2,Bitumenski ili uljni škriljevac i katranski pijesak,,,,,
06.10.20,Bitumenski ili uljni škriljevac i katranski pijesak,,,,,
06.2,"Prirodni plin, ukapljeni ili u plinovitom stanju",,,,,
06.20,"Prirodni plin, ukapljeni ili u plinovitom stanju",,,,,
06.20.0,"Prirodni plin, ukapljeni ili u plinovitom stanju",,,,,
06.20.00,"Prirodni plin, ukapljeni ili u plinovitom stanju",,,,,
07,Metalne rude,,,,,
07.1,Željezne rude,,,,,
07.10,Željezne rude,,,,,
07.10.0,Željezne rude,,,,,
07.10.00,Željezne rude,,,,,
07.2,Rude obojenih metala,,,,,
07.21,Uranove i torijeve rude,,,,,
07.21.0,Uranove i torijeve rude,,,,,
07.21.00,Uranove i torijeve rude,,,,,
07.29,Ostale rude obojenih metala i njihovi koncentrati,,,,,
07.29.0,Ostale rude obojenih metala i njihovi koncentrati,,,,,
07.29.01,Rude i koncentrati bakra,,,,,
07.29.02,Rude i koncentrati nikla,,,,,
07.29.03,Rude i koncentrati aluminija,,,,,
07.29.04,Rude i koncentrati plemenitih metala,,,,,
07.29.05,"Rude i koncentrati olova, cinka i kositra",,,,,
07.29.09,"Ostale rude obojenih metala i njihovi koncentrati, d. n.",,,,,
08,Ostali proizvodi rudarstva i vađenja,,,,,
08.1,"Kamen, pijesak i glina",,,,,
08.11,"Ukrasni kamen, vapnenac, gips, škriljevac i drugi kamen",,,,,
08.11.1,Vapnenac i gips,,,,,
08.11.10,Vapnenac i gips,,,,,
08.11.2,Kreda i nekalcinirani dolomit,,,,,
08.11.20,Kreda i nekalcinirani dolomit,,,,,
08.11.3,Ostali ukrasni kamen i kamen za gradnju,,,,,
08.11.31,Mramor i ostale vrste vapnenačkog ukrasnoga kamena i kamena za gradnju,,,,,
08.11.32,"Granit, pješčenjak i ostale vrste ukrasnoga kamena i kamena za gradnju",,,,,
08.11.4,Škriljevac,,,,,
08.11.40,Škriljevac,,,,,
08.11.5,"Lomljeni ili drobljeni kamen, kameni granulat, odlomci i prah",,,,,
